"","Text"
"1070","14:41:37 You: ? there is a location to figure out if best to recast or reduce # of years of loan?"
"2290","14:03:15 Jon: My current employer (with whom I've been with for two years) does not have any locations down there. It will be a complete fresh start. I am hoping not to have to buy here before buying down there. I have several prospects but will secure employment before moving. I know I may be forced to rent for awhile to have some time in my new job, but I don't know how long or any details as what I should do.
"
"3890","13:17:49 You: I receoved an email stating Quicken had mailed it to my previous location"
"4582","12:51:27 You: can they meet me at my work location?"
"5138","12:31:06 michael hew: the home we toured is in a better location and better suits our needs."
"5354","11:57:14 millie Fleming: lol location and the way it is. Its just beautiful. I have rented for 11 years Im ready to own"
"5780","03:47:31 thomas routt: Ready to take the next steps due to staying in the the same location"
"5781","03:48:12 thomas routt: The location of the home is very good, has an opportunity for rental income from one unit while living in the toher
"
"6700","02:37:14 Corey Lopez: do you have a physical locations?"
"9470","00:48:27 Christopher Kraft: Move to new home, sell current home.  Reason for move is wife is driving 3 hours a day to work. Looking to move to a more central location where my drive increases a bit but hers decreases a ton. Also, property taxes drop by about 5 grand as do insurance costs on autos.
"
"9471","00:52:15 Christopher Kraft: Beloit. Elkhorn is new location. Plus school district is higher rated.  Lots of positives. Also MKE crime rivals Chicago's as of late."
"9514","00:51:35 Michelle Conlon: I'm sorry I don't understand the question. I was with my previous employer for almost 4 years. I just moved to a new job a few months ago. John works at a different location where he has been working this year to date.."
"13296","22:27:05 TYLER LINCOLN: we're just a little isolated from events and our friends in the current location"
"13725","22:27:11 Maryclaire Broskey: Most definitely, if not a higher %; its a very desirable location, due to the schools here
"
"14210","21:56:04 Kevin Holohan: 213 W. Delaware St. Dwight, IL  60420. Right now the price and the house it self and location.
"
"20732","17:44:19 Ginger Kartchner: My husband and I want to pull money out of the equity on the home.  We are in a prime location in Portland and Zillow ( I know not always accurate) states that our 'Zestimate' is $350,000.  I want to update the home so if we do sell, I will be able to make top dollar.
"
"21065","18:08:06 derek crimmel: You can try me around 12:30, that's typically our lunch, but I'm often on location and busy.  I'm not sure where I'll be Wednesday.  What could you offer on a 25 year refinance?
"
"21129","17:27:28 Nicholas Sanzo Sr.: Wanting to have a home of my own as opposed to renting, also the location would like to be in a rural area instead of city
"
"21436","18:08:06 derek crimmel: You can try me around 12:30, that's typically our lunch, but I'm often on location and busy.  I'm not sure where I'll be Wednesday.  What could you offer on a 25 year refinance?
"
"26128","14:35:21 Gina Waddell: It is the location and size that we want...exactly! As I said, we really wanted to stay in our current neighborhood
"
"26535","14:08:04 Caleb McKisic: the location is the biggest factor. I am a regional manager and oversee 1 store in Greenville SC and 2 stores in Atlanta GA. The location of this specific home is perfectly placed between the two ATL stores so I can get to either work destination quickly despite the insane traffic there"
"26821","13:49:08 Dawn Peterson: Basically location and size.  I have 3 kids and we foster dogs so we appreciate a little more square footage, not too big though, we are on a small budget.   Also looking in the same neighborhood as my mom and sister
"
"27960","04:09:38 Adam DeRose: Price and location. I work 2 miles away"
"28151","03:26:04 andre armstead: we know the location. we are targeting 3 to 6 months."
"29590","01:59:30 Richard Muckle: We have rented for over a year now in our current location and are ready to start looking to purchase something"
"29593","02:03:31 Richard Muckle: outside of city limits, but close enough.  Beautiful locations.
"
